id,document,label
972,한국지역정보개발원 2019년 10월 집합교육 수강신청 안내,4
973,2019년 개인정보 영향평가 순회교육(4차-전라권) 참석 협조,3
974,공공부문 맞춤형 클라우드 2차 심화교육 참석 요청,3
975,개인정보보호 제도 발전을 위한 전북지역 간담회 참석 요청,3
976,공직유관단체 사규 부패영향평가를 위한 자료제출 요청,11
977,공적임대주택 관련 집행실적 자료 협조 요청,5
978,성희롱 행위자 인식개선 및 조직문화 개선 교육 안내,4
979,중소기업 기술개발제품 우선구매 협조 요청,5
980,2019년도 하반기「정부24」권역별 순회교육 확정 통보,4
981,사례로 살펴보는 공공부문 노무관리의 이해(제13기) 개설안내,4
982,독도 표기 오류 점검 및 결과 제출 협조 요청,1
983,토지수용보상금 압류촉탁 및 추심의뢰,9
984,주택소유현황 검색결과 송부,11
985,2019년 개인정보 보호책임자(CPO) 워크숍 계획 알림,3
986,2019년도 행정정보공동이용 활성화 유공 추천 요청,3
987,재해영향평가 협의 하반기 이행실태 자체 점검 협조요청,7
988,'19년 제2차 새만금 사업관리 협의회 개최알림 및 회의자료 제출 요청,7
989,임대주택 중복입주 확인 요청,11
990,공공부문 부서장(팀장) 갈등관리 및 의사소통 역량강화 과정(제2019-5기) 개설안내,4
991,『2019년 UDC 워크숍』개최에 따른 협조 요청,1
992,한국지역진흥재단 9월중 『지역축제 성공전략』교육과정 신청 안내(추가접수),4
993,지방공기업 주요정책 간담회 관련 사전 의견수렴,1
994,전주 만성지구 유치원용지 매입에 따른 토지 경작 관련 확인 요청,9
995,「전북 빅데이터 허브」시스템 구축에 따른 이용 및 홍보 협조,3
996,2019년도 지방공공기관 업무시스템 유지관리 업무수행 결과 제출(8월),3
997,2021년~2023년 이후 보상예정 현황 추가자료 제출 요청,9
998,「청렴 사연(수기) 및 스토리텔링 공모전」접수 마감 도래 안내 및 홍보 협조 요청,12
999,2020년 본예산 편성 관련 지역개발기금 추가 융자수요 조사,5
1000,군산 금광지구 주거환경개선사업(행복주택건립사업) 지구내 국유재산 무상양여관련 서류보완 요청,9
1001,계약방법결정 및 구매 추진 안내-00196078700,5
1002,「대구순환선 강창영업소 등 6개소 신축 설계용역」 등 2건 참여기술자 업무중복도 조회,10
1003,2019년도 공공부문 맞춤형 클라우드 하반기 선도활용 지원 사업 수요조사 안내,3
1004,공공부문「용역근로자 근로조건 보호지침」개정 알림,4
1005,2019년 출연기관 등 경영평가결과 도의회 보고 참석 요청,1
1006,2019년 10월 농식품공무원교육원 교육과정 추가모집 안내,4
1007,지적확정측량 업무수행 현황 협조요청,9
1008,2019년 제2차 충청남도개발공사 기록물평가심의회 심의위원 위촉 알림,4
1009,외부강의 등 신고 및 대가기준 준수실태 점검을 위한 협조요청,12
1010,도시재생전략계획 및 활성화계획 요청 자료 송부,13
1011,2019년도 지방공사채 발행·운영기준 개정 통보 및 하반기 승인신청 안내,5
1012,순창군 도시재생전략계획(안) 심의를 위한 관계기관(부서) 협의 요청,13
1013,2019년 제2기 「데이터기반 정책수립」 과정 수료자 명단 알림,4
1014,&#65378;도시재생 활성화 및 지원에 관한 특별법 시행령&#65379; 일부 개정령안에 대한 의견 조회,13
1015,「장애인 근로자를 위한 재난안전 동영상」활용 안내,4
1016,2019년 제3차 공공구매 전시·상담회 계획 알림 및 참여 협조 요청(수정),5
1017,2019년 제3차 공공구매 전시·상담회 계획 알림 및 참여 협조 요청(수정),5
1018,"""2019년 가을여행주간"" 맞이 전남개발공사 운영 관광사업장 할인 안내",4
1019,범정부 데이터 플랫폼 2단계 구축 기관설명회 참석자 상시학습 인정 안내,4
1020,공공간행물 납본 협조 및 안내서 송부,4
1021,2019년 제3차 공공구매 전시·상담회 계획 알림 및 참여 협조 요청,5
1022,2019년 제3차 공공구매 전시·상담회 계획 알림 및 참여 협조 요청,5
1023,2019년 하반기 에너지 전문교육 안내 및 협조 요청,4
1024,2019년 지식나눔콘서트 “강연을 부탁해” 2회차 협조 요청,4
1025,2019년 제11기 행정법실무과정(공공) 교육 신청안내,4
1026,공공조달 통계자료('19년 8월) 제출 요청,5
1027,중증장애인생산품 분리발주 협조요청(지방공기업),5
1028,2019년도 10월 국가민방위재난안전교육원 입교대상자 추천 및 교육 안내,4
1029,『택지정보시스템』구축·운영 관련 자료협조 요청(2019년 4차),9
1030,자율주택정비사업 설명회 참석 요청,10
1031,자율주택정비사업 설명회 참석 요청,13
1032,지방계약 예규 개정(안) 검토의견 조회,5
1033,전주만성 기지제 순환산책로 설계도서 및 사업시행협약서 검토요청,7
1034,전라북도 규제개혁위원회 구성을 위한 위원추천 협조요청,12
1035,2019년 지방개발공사협의회 임직원 해외연수 계획 알림,1
1036,관광투자유치 월간동향 송부(2019.8월),6
1037,공공데이터 관리지침 고시 일부개정 알림,3
1038,2020년도 지방공기업 예산회계 및 신속집행시스템 유지관리 사업 위·수탁 협약 수요조사,3
1039,성두지구 새뜰마을사업 마스터플랜 수립 용역 제안서 평가위원(후보자) 모집 공고,10
1040,성두지구 새뜰마을사업 마스터플랜 수립 용역 제안서 평가위원(후보자) 모집 공고,7
1041,「공공기록물 관리에 관한 법률」일부개정안(김병관 의원 대표발의안) 의견조회,4
1042,2020년도 상반기 적용 공직유관단체 변동 사항 조사 계획 통보,1
1043,2019년 제2기 모의해석실습(공통) 교육 신청안내,4
1044,2019년도 토지수용과정 교육훈련 수료 통보,4
1045,재결서 정본 송달[군산 금광지구 주거환경개선사업(행복주택 건립사업)],9
1046,제2회 권역별 찾아가는 조달전문교육 실시 정정 안내,4
1047,2019년 하반기 보상전문교육 안내 및 대상자 추천 요청,4
1048,국립새만금박물관 소장품 확보 및 기증·기탁운동 홍보 협조 요청,4
1049,국가민방위재난안전교육원 재난안전교육과정(8월) 수료자 명단 통보,4
1050,경남개발공사 미션 · 비전 및 사회적가치 비전 선포식 공유·전파,1
1051,경남개발공사 미션 · 비전 및 사회적가치 비전 선포식 공유·전파(재송부),1
1052,『남부생활권(평화동) 체육시설 조성사업』 추진에 따른 최종 이식수목 수요 조사 요청,7
1053,직권조사 관련 자료제출 요구(19-직권-0001700),12
1054,제2회 권역별 찾아가는 조달전문교육 실시 안내,4
1055,전북혁신 개발사업 2·3단계 사후환경영향조사용역(운영시) 제4회 기성검사 결과알림,7
1056,2019년도 9월 교육과정 교육대상자 확정 및 추가 신청 안내,4
1057,2019년 지방공기업 투자계획 집행현황 제출 요청,1
1058,2019년 공공기관 청년고용의무 이행 권고 및 경영평가 반영 결과 회신요청,4
1059,「공무직 등 근로자 인사관리규정 표준안(공공기관용)」개정 안내,4
1060,2019년(2018년도 실적) 출연기관 등 경영평가 결과 통보,1
1061,어도비 플래시(FLASH) 종료 관련 유의사항 및 조치사항 안내,1
1062,「2020년 청년 직무인턴」운영에 따른 수요파악 및 설문조사 협조 요청,4
1063,감사원 감사 자료 요청(긴급),12
1064,2019년 추석명절 장애인생산품 선물세트 꿈드래 카탈로그 안내 및 구매협조 요청,4
1065,「2019년 공공데이터 제공 운영실태 평가」자체실적등록 안내,3
1066,국토교통인재개발원 2019년 10월 설계VE 고급 과정 2기 추가모집 안내,4
1067,2019년 개인정보보호 순회교육(6차) 알림,3
1068,충청·전라지역 그룹별 AA 자문서비스 개최 및 참가신청 안내 공문,4
1069,2020년도 교육훈련계획 수립을 위한 수요조사 협조 요청(수요기관),4
1070,2019년 노사발전재단 생애경력설계서비스 일정 안내(9~10월),4
1071,2019. 10월 조달교육원 교육 신청 안내,4
1072,2019년 10월 국토교통인재개발원 교육대상자(집합교육) 명단 및 입교 안내,4
1073,2019년 정보시스템 운영성과 측정결과 제출협조,3
1074,인천관광공사 2019년 1차 경영 우수사례 공유,1
1075,국민권익위원회 청렴연수원 청렴아카데미 신청 안내 (10월),4
1076,설계공모 시행 시 「건축 설계공모 운영지침」 준수 요청,10
1077,"2019년 제9기 공무원이 알아야 할 민법과정(공공, 대학) 교육 신청안내",4
1078,2019년 지방공기업 대상 하반기 컨설팅 수요조사 실시,1
1079,구매업무 협의-001960098700,5
1080,2019 도시재생 한마당 행사관련 장관표창 대상자 추천 제출,13
1081,뉴스저작권 보호 협조 요청 및 '2020년도 뉴스저작물 이용계약 안내,12
1082,2019년 제3차 기록관리 정책포럼 개최 알림,4
1083,"2019국제도시디자인포럼 '광주, 리브랜딩 #RE_BRANDING_GWANGJU' 참관 신청 안내",13
1084,2019년도 9월 재난대비 역량지원과정(산불) 입교대상자 추천 및 교육 안내,4
1085,제4차 고충민원 처리역량 강화 워크숍 참석자(수료자) 명단 통보,4
1086,2019년 9월 조달전문 이러닝 과정 운영 안내(수정),4
1087,한국데이터산업진흥원 사업별 평가위원 후보자 추천 요청,4
1088,2019년 9월 조달전문 이러닝 과정 운영 안내,4
1089,지방자치인재개발원 「지방공기업 경영자과정」교육 신청 안내,4
1090,한국지역진흥재단 9월중 『지역축제 성공전략』교육과정 신청 안내,4
1091,2019년도 10월 교육과정 운영 및 교육대상자 접수 안내,4
1092,2019 정보공개 종합평가 최종 결과 통보 안내,4
1093,혁신공간재생 전문가 토론회 개최 안내 및 참석 협조 요청,2
1094,2019년도 8월 사이버교육과정 수료자 명단 통보,4
1095,"2019년(1~8월) 중증장애인생산품 구매실적, 생산시설 지정현황(8월기준), 추석명절 꿈드래 카탈로그 안내 및 활용협조요청(지방공기업)",5
1096,2019년 지방공기업 및 지방출자출연기관 대상 하반기컨설팅 수요조사 실시,1
1097,2019년 지방공기업 신속집행시스템 유지관리 업무 위탁 소요경비 납부 재안내,3
1098,‘2019년 도시재생 한마당’ 행사 관련 협조 요청,13
1099,2019년 제2기 지방계약관계 법령 특강(지방ㆍ교육청ㆍ공공) 교육 신청안내,4
1100,지방공기업 청사 관련 자료 요청,6
1101,2019년 제3기 국가계약관계 법령의 이해(중앙·공공) 교육 신청안내,4
1102,「제4회 나라사랑 어울림콘서트」 참석 안내,12
1103,2019년도 8월 중 경영전문교육과정 수료자 명단 통보,4
1104,2019년 도시재생뉴딜 (전문가)교육비 지원 선정 결과 안내,13
1105,익산 부송4지구 도시개발사업 관련 회의 개최 및 참석 요청,2
1106,2019년 발주처 찾아가는 기술설명회 개최 안내 및 협조 요청,7
1107,제2회 '굿 시티 포럼 2019' 행사 알림,13
1108,2019년 '지방공공기관 통합채용제' 도입 사전 특별교육 계획안내,4
1109,2019년 제8차 전주시 건축위원회 개최결과 알림,10
1110,거제해양관광개발공사 비상임이사 공개모집 안내,4
1111,2019년 8월 유형별 민원분류기준표 정비결과 알림,4
1112,사례로 살펴보는 공공부문 노무관리의 이해(제12기) 추가모집안내,4
1113,2019년 개인정보보호 전문교육(8차) 알림,3
1114,제안서 평가위원(후보자) (재)모집 및 등록안내,10
1115,제안서 평가위원(후보자) (재)모집 및 등록안내,7
1116,고충민원 관련 자료제출 협조 요청(임차보증금에 대한 권리침해 유무 확인서 발급 요청),4
1117,2019년 9월중 국가민방위재난안전교육원 사이버교육과정 안내,4
1118,기술성평가위원회 참석요청,10
1119,2019년도 국가기록원 기록관리 공통직무과정(3차) 안내,4
1120,중소기업 기술개발제품 우선구매 협조 요청,10
1121,창원경륜공단 2019년 경영 우수사례 전파,1
1122,2019년 기록전문가 국제회의 참가안내,4
1123,사회적약자 해나루가족호텔 무료 이용 관련 도내 확대 추진 협조 요청,6
1124,온-나라 문서시스템 일시중단 안내,4
1125,2019년 10월 감사교육원 교육과정 신청 안내,4
1126,지방공기업 및 출자출연기관 2019 유엔 기업과 인권 포럼 참가 안내,12
1127,제주경제통상진흥원 이제주숍 2019 ‘추석맞이’행사 이용협조 요청,4
1128,추석 명절 대비 청탁금지법 홍보자료 활용 협조요청,12
1129,지방공기업 안전관리 예산 및 인력 등 현황 조사,4
1130,2019년 9월 감사교육원 사이버교육안내,4
1131,공공임대주택의 분류체계(재개발 임대주택) 정비요청,11
1132,2019년 도시재생 전문교육 교육대상자 및 교육 안내,4
1133,개인정보보호 관련 징계 현황 자료제출 요청,4
1134,2020년 공유재산 관리계획 수립을 위한 청산시 배분 미분양용지 지정 협조,2
1135,「공공기록물 관리에 관한 법률」일부개정안(소병훈 의원 대표발의안) 의견조회,4
1136,2019년 상반기 부패공직자(비위면직자 포함) 및 행동강령 현황 자료 입력 안내,12
1137,2019년 제4기 공공기관 직원을 위한 법제 특강(공공) 교육 신청안내,4
1138,공공임대주택 자격심사 시 금융거래 제공사실 통보비용 관련 협조요청,11
1139,2019 지자체 관광담당 공무원 교육(도시재생과 숙박인프라개선과정) 참가자 모집 안내,4
1140,추석맞이 「전통문화상품·전통주·전통식품」구매 협조 요청,4
1141,익산 부송4지구 도시개발사업 참여 시 개발 이득금 사용 등의 의견 요청,2
1142,토지사용승낙 요청,9
1143,2019년「근현대 100년의 기억」리더의 道(정동길) 교육계획 안내,4
1144,한국지역진흥재단 9월중 『지역공동체 이해와 활성화』교육과정 신청 안내(추가 모집),4
1145,2020년 출연금 예산편성 협조 요청(출연금 요구서),1
1146,2018년도 공공기관 LED조명 보급률 조사기간 연장에 따른 협조 요청,6
1147,주거취약계층 주거지원 업무처리지침에 따른 실적 파악 요청,11
1148,2019년 하반기 지방공기업 재정 신속집행 집행률 제고 및 8월말 점검 제출 협조,1
1149,2019년 10월 농식품공무원교육원 교육과정 신청 안내,4
1150,전북개발공사 비상임이사 임명 알림,1
1151,공공기록물 관리에 관한 법률 시행령 및 시행규칙 일부개정안 의견조회,4
1152,건축설계 용역 계약 시 수의시담을 통한 설계비 감액지급 관행 개선요청,5
1153,2019년 건설공사 발주실적 자료 제출 협조 요청 (8월 기준)-유관기관,5
1154,제11차 전라북도 유관기관 정보보안 협의회 개최 안내,3
1155,2019년도 9월 국가민방위재난안전교육원 교육대상자 확정 통보 및 추가모집 안내,4
1156,2019년도 추석명절 장애인표준사업장 생산품 홍보 및 구매 협조 요청,4
1157,에코르상가 민원 관련 자료제출 협조요청,10
1158,2019년 제2기 법령입안활용과정(공공) 교육 신청안내,4
1159,2019.  9월 나라장터 이용(시설) 과정 추가 신청자 모집,4
1160,에코르상가 민원 관련 자료제출 협조요청,11
1161,추석맞이 진도 농·어민 돕기 특산품 할인판매(생산자 직거래) 알림,4
1162,전주 도시관리계획(만성지구 지구단위계획)(변경)결정안의 입안 제안 수용여부 통보,7
1163,바닥충격음 차단구조 인정 취소 알림(제15-07호),10
1164,국토교통인재개발원 도시재생 전문과정(3기) 교육생 추천 요청,4
1165,「주택공급에 관한 규칙」 일부개정령안 의견조회,11
1166,추석맞이 진도 농·어민 돕기 특산품 할인판매(생산자 직거래) 알림,4
1167,「2019년 하반기 광역선정 도시재생 뉴딜사업」종합평가 세부계획 알림,13
1168,새만금 재생에너지 지역주도형사업 관계기관 간담회 참석 요청,8
1169,‘19년도 추석명절용 장애인 표준사업장 생산품 카탈로그 배부 및 구매 협조 요청,4
1170,범정부 데이터 플랫폼 2단계 구축 관련 기관설명회 개최에 따른 참석 요청,3
1171,조달청 기술용역 기술제안서 등 평가위원 추천 협조 요청(2차),5
1172,우수발명품(특허등록 제1672970호) 우선구매 추천의뢰[40],5
1173,우수발명품(특허등록 제1886677호) 우선구매 추천의뢰[36],5
1174,우수발명품(특허등록 제1610331호) 우선구매 추가 추천의뢰[3],5
1175,2019년 제6기 행정쟁송의 이해과정(공통) 교육 신청 안내,4
1176,2019년 상반기 공공기관 민원처리 실태점검 결과 알림,4
1177,공공부문 협력적 조직운영을 위한 갈등관리 및 해결(제2019-2기) 개설안내,4
1178,2020년 교육훈련계획 수립을 위한 수요조사 안내 및 협조 요청,4
1179,2019년도 9월 교육과정 교육대상자 확정 및 추가 신청 안내,4
1180,사회적기업 제품 우선구매 협조 요청,5
1181,[지방공기업] 제27호 게재 참여 및 협조 요청,12
1182,2019년 제9차 토지수용 보상액 산정을 위한 감정평가 의뢰,9
1183,「`19 하반기 공공기관 직무인턴」연장근무 희망자 기관 협조요청,4
1184,2019년 조달청 e-발주시스템 권역별 사용자 교육 안내,4
1185,전라북도 도시재생지원센터장 공개채용 공고 홍보 협조,4
1186,2019년 공직유관단체 지정·고시에 따른 기본현황 제출 요청,12
1187,과세자료 제출법에 의한 과세자료 제출 안내,9
1188,한국지역정보개발원 KLID 아카데미 특강 신청 안내,4
1189,2019년 중소기업제품 구매실적 집계용 기업 DB 송부(5차) 및 협조요청(재송부),5
1190,2019년 개인정보보호 실태조사 협조 요청,3
1191,2019년 지방개발공사협의회 임직원 해외연수 일정 안내 및 협조 요청,1
1192,새만금 수상태양광  사업 추진에 따른 주요쟁점 협의,8
1193,심층논의 필요사무 협의기구 조속 구성 요청,4
1194,반부패.청렴 우수시책 공유 확산,12
1195,2019년 제8차 건축위원회의 개최알림,10
1196,2019년 하반기 지방공기업 재정 신속집행 추진계획 통보,1
1197,2019년도 지방공공기관 업무시스템 유지관리 업무수행 결과 제출(7월),3
1198,『제4회 적극행정 우수사례 경진대회』개최 안내 및 우수사례 제출 협조 요청,1
1199,2019년 상반기 공공기관 민원처리 실태점검 결과 통보(통합기관),4
1200,2019년 9월 KMA 포럼 참가자 모집 안내,4
1201,2019년도 하반기「정부24」권역별 순회교육 계획 통보 및 참석대상자 제출,1
1202,’18.4분기~ ’19.1분기 및 미제출연도(누락분) 과세자료 제출안내,9
1203,한국지역진흥재단 9월중 『지역공동체 이해와 활성화 과정』교육 신청 안내,4
1204,2019년 추석맞이 장애인생산품 특별판매 행사 구입협조 요청,4
1205,순천시 도시공원위원회 위원 공개모집 알림,7
1206,2019년도 공공기관 청렴도 측정 관련 협조 요청,12
1207,공공분양주택 유상옵션 계약해제 관련 운영 기준 조회,11
1208,주택소유현황 검색결과 송부,11
1209,「`19 하반기 공공기관 직무인턴」근무기간 조정 및 수료식 안내,4
1210,2019년 도시재생 뉴딜 전문가 교육 안내,13
1211,2019년도 하반기「정부24」권역별 순회교육 계획 통보 및 참석대상자 제출,11
1212,2019년도 하반기「정부24」권역별 순회교육 계획 통보 및 참석대상자 제출,9
1213,한방바이오 제천몰 추석맞이 특별할인행사 알림,4
1214,「창업·벤처기업 제품 설명회」안내 및 참석 요청,5
1215,복지사각지대 발굴을 위한 공공임대주택 분류체계 정비 및 임대료 체납정보 기준확대 요청,11
1216,2019년 중소기업제품 구매실적 집계용 기업 DB 송부(5차) 및 협조요청,5
1217,「2019 공공구매 유공자」 포상 계획 안내,5
1218,새만금 관광레저용지(초입지) 향후 추진계획 제출 요청,7
1219,토지수용재결신청에 따른 열람공고 의견서 및 답변서 제출 요청,9
1220,(전직원 공람)「2019년 적극행정 실행계획」알림 및 1부서 1사례(과제) 제출 요청,1
1221,장군목 생태관광지 진입도로 개설 사업 환경영향평가협의회 심의 결과 알림,7
1222,국회의원(전혜숙 의원) 요구자료(지방공기업 채용관련) 제출요청,1
1223,2019 환경정보 등록 지원 2차 대상 선정 알림,6
1224,사례로 살펴보는 공공부문 노무관리의 이해(제12기) 개설안내,4
1225,2018년도 공공기관 LED조명 보급률 파악 협조 요청,6
1226,국가기록원 기록관리교육센터 2019년 10월 중 교육과정 안내,4
1227,한국출판문화산업진흥원 인사위원회(국외공무출장 계획 심사) 협조 요청,4
1228,제4차 고충민원 처리역량 강화 워크숍 교육비 납부 사항 알림,4
1229,「빅데이터의 이해와 활용(중급)과정」교육생 추가 추천 요청,4
1230,국가청렴정보시스템 2단계 구축 관련 공공기관 맞춤 사례 제출 요청,12
1231,무허가건물 여부 조회 요청 회신,11
1232,2019년도 8월 건축위원회(교통전문위원) 개최결과 알림,10
1233,「‘19년 하반기 광역선정 뉴딜사업」서면평가 통과사업 및 현장실사 일정 알림,13
1234,「공공주택 특별법 시행령」 일부개정안 의견조회,11
1235,공동주택 분양가격의 산정 등에 관한 규칙 일부개정령(안) 의견조회,10
1236,2020년 본예산 편성 등 지역개발기금 융자수요 및 조기상환 계획 조사,5
1237,2019년 제3기 국정 현안 법제의 이해 과정(공통) 교육 신청안내,4
1238,무허가건물 확인 요청에 대한 회신(정동#),11
1239,2018∼19년도 건설기술용역평가 대상 확인 협조 요청 및 평가실시 독려,7
1240,낙찰자 선정 및 계약체결 안내-35193050200,5
1241,2019년도 녹색제품 구매실적 수정요청 접수 알림 및 녹색제품 구매협조 요청(8월),5
1242,환경영향평가 이행률 제고를 위한 관계자 교육 참석 요청,7
1243,2019년 제2차 공공건축 관계자 교육(공공건축 정책 및 제도관련 실무교육) 수요조사,4
1244,2019년 추석명절 사회복지시설 등 위문 방문 협조 요청,12
1245,공공기관 인권경영 매뉴얼 적용 2차 컨설팅 알림,12
1246,전기배전설비 교체요청,6
1247,제4차 고충민원 처리역량 강화 워크숍 개최계획 및 참석자 명단 알림,4
1248,2019년 제2기 사례중심 실무 건축법제과정(중앙·공공) 교육 신청안내,4
1249,"2019년 제2기 법령해석과정(공공) 및 제3기 지방계약관계법령의 이해과정(지방,교육,공공)  교육 신청안내",4
1250,시추정보 미입력 건설현장 시추정보 구축 독려 요청,10
1251,공공조달 통계자료('19년 7월) 제출 요청,5
1252,2019년도 8월 재난대비 역량지원과정(다중밀집시설대형화재)교육생 추가 모집,4
1253,2019년 주거복지 전문교육 교육대상자 및 교육 안내,4
1254,2019년 추석맞이「남도장터」농수축산물 할인 행사 안내,4
1255,“도로표지” 발주시 “물품” 발주 요청 안내,5
1256,[고려대학교 정책대학원] 2019년 제 65기 최고위정책과정 안내,4
1257,토지수용재결신청에 따른 사업시행자 제시액 조서 작성[진안(군상) 농어촌임대주택],9
1258,지자체 관광담당 공무원 교육 수요조사 협조 요청,4
1259,건설기술용역 사업수행능력 평가를 위한 업무중복도 등 조회,7
1260,2019년 3분기 유관기관 및 대형사업장 현장방문 계획안내 및 협조요청,10
1261,2019년(2018년도 실적) 지방공기업 스코어카드 작성 요청,1
1262,학교시설관리의 실제와 재난 대비 안전교육과정(제2019-2기) 개설안내,4
1263,"2019년(1~7월) 중증장애인생산품 구매실적, 생산시설 지정현황 송부 및 활용협조 요청(지방공기업)",5
1264,2019년 제8차 토지수용 보상액 산정을 위한 감정평가 의뢰(2차),9
1265,제도개선 관련 자료제출 협조 요청,4
1266,무허가건물 확인에 대한 회신(엄옥순),11
1267,2019년 지방공기업 임금피크제 별도정원 최종 확정 통보,4
1268,2019년 부산도시재생박람회 행사 안내,13
1269,2019년 제2회 사이버 통일교육 우수교육생 현장체험 실시 안내,4
1270,2019년 9월 농식품공무원교육원 교육과정 추가모집 안내,4
1271,공공주택 입주자 선정을 위한 무허가 주택 여부 확인 협조요청 회신,11
1272,「순천만관리센터 홈페이지 통합 및 개편 용역」 제안서 평가위원 추천 의뢰,1
1273,지방공기업 자금운용 관련 현황조사 협조 요청,5
1274,지방공기업 임금피크제 운영 현황 파악 협조 요청,4
1275,2019년 제2기「데이터 기반 정책수립」교육 확정자 명단 알림,4
1276,?택지개발촉진법? 상 공공택지 공급 관련 법령 준수 철저 요청,9
1277,중증장애인생산품 구매활성화를 위한「2019년 추석 명절 선물세트 꿈드래 카탈로그」안내(지방공기업),5
1278,중증장애인생산품 구매활성화를 위한「2019년 추석 명절 선물세트 꿈드래 카탈로그」안내(지방공기업),4
1279,토지수용(공공용지 협의취득) 보상내역 확인 협조요청,9
1280,2019년 10월 국토교통인재개발원 교육 과정(집합 교육) 교육 신청 안내,4
1281,2019년 주택공급통계정보시스템(HIS) 사용자교육 및 만족도조사 협조 요청,11
1282,2019년 주택공급통계정보시스템(HIS) 사용자교육 및 만족도조사 협조 요청,10
1283,2019년 제7차 기록관리 연구세미나 개최 알림,4
1284,「2018결산 도민에게 묻습니다」설문 참여 협조 요청,4
1285,주택소유현황 검색결과 송부,11
1286,협력적 조직운영을 위한 갈등관리 및 해결(제2019-1기) 추가모집안내,4
1287,사회적경제기업 제품 공공구매 확대를 위한 방문 활동 알림,5
1288,2019년도 9월 교육과정 운영 및 교육대상자 접수 안내,4
1289,2019년도 9월 국가민방위재난안전교육원 입교대상자 추천 및 교육 안내,4
1290,2019년 공공기관 SW관리담당자 대상 하반기 순회교육 안내문,3
1291,부패신고 처리 및 보호보상 업무 가이드 및 공공청렴e시스템 사용 설명자료 배부,12
1292,경영평가 결과분석을 위한 추가 자료수집에 따른 협조요청,1
1293,2019년 제7기 전북인재개발원 사이버교육 수료자 내역 송부(공기업·출연기관),4
1294,「NPS 교양강좌」 참여 협조 요청,4
1295,진행중인 용역사업 및 참여기술자 현황자료 협조 요청,7
1296,2019년 지방공기업 혁신우수사례집 원고 작성 요청,1
1297,‘공기업 청렴사회협의회’ 반부패·청렴 경영 우수시책 공유,12
1298,고충민원(2BA-1907-464158) 실지방문조사 알림,11
1299,고충민원(2BA-1907-464158) 실지방문조사 알림,4
1300,교통신기술 우선 적용 및 구매 권고,5
1301,교통신기술 우선 적용 및 구매 권고,7
1302,공정위의 입찰 참가자격 제한 요청에 따른 부정당제재 처분 유의사항 통보,5
1303,[반송] 2016~2017년 특정성별영향분석 평가 개선권고 미완료 과제 이행 점검 자료 제출,1
1304,2019년 제1기 지방계약관계 법령 특강(지방ㆍ교육청ㆍ공공) 교육 신청 안내,4
1305,2019년 제5기 행정쟁송의 이해과정 교육 신청 안내,4
1306,2019년 상반기 가족수당 등 지급 내역 확인 요청,4
1307,사례로 살펴보는 공공부문 노무관리의 이해(제11기) 추가모집안내,4
1308,순창군 인계면 농촌중심지활성화사업 지역역량강화용역 제안서 평가위원 추천,7
1309,일상감사 의견 통보(2019년 정보시스템 통합유지보수 용역),3
1310,한국지역정보개발원 2019년 9월 집합교육 수강신청 안내,4
1311,공공부문 맞춤형 클라우드 1차 심화교육 참석 요청,3
1312,"새만금지역 사업현황(공사, 용역) 현행화 제출",7
1313,새만금개발사업 공정표 작성을 위한 단위사업 명세 작성요청,7
1314,인계면 농촌중심지활성화사업 지역역량강화 용역 제안서 평가위원 신청,7
1315,전라북도 도시재생지원센터장 채용관련 의견 회신,13
1316,병역사항공개 신규 신고대상자 신고서 제출 요청,4
1317,민간위탁 심층논의 필요사무 협의기구 구성 및 타당성 검토결과 전산입력 매뉴얼 송부,4
1318,바닥충격음 차단구조 인정 취소 알림(제15-17호),10
1319,일본 수출규제 등 관련 지방공공기관 애로사항 등 현황 조사 제출(긴급),1
1320,2019. 9월 조달교육원 교육 신청 안내,4
1321,2019년 9월 국토교통인재개발원 교육대상자(집합교육) 명단 및 입교 안내,4
1322,지방공공기관 예산편성기준 설명회 참석자 명단 통보,4
1323,2019년도 도시재생 뉴딜교육 추진 협조,13
1324,2019 정부혁신 우수사례 경진대회 개최 안내 및 협조 요청,1
1325,2016~2017년 특정성별영향분석평가(지자체 조례 등) 개선권고 미완료 과제 이행 점검 자료 제출 요청,1
1326,2019년 8월 교육과정 교육대상자 확정 및 추가 신청 안내,4
1327,「고령자고용법」개정에 따른 재취업지원 관련 현황파악 등 협조요청,4
1328,임대보증금 지원기간(6년) 만료예정에 따른 계약 해지 및 보증금 반환 요청,11
1329,군계획시설사업[도시계획도로(소로3-1호선)개설사업] 추진현황 제출,10
1330,2019년 7월 중 경영전문교육과정 수료자 명단 통보,4
1331,2019년 7월 사이버교육과정 수료자 명단 통보,4
1332,김해시도시개발공사 제4대 사장 취임 알림,4
1333,계약방법결정 및 구매추진 안내(제한(총액))-35193047100,5
1334,국민권익위원회 청렴연수원 청렴아카데미 신청 안내 (9월),4
1335,2019년 하반기 교육과정 추가개설 수요조사 안내,4
1336,2019년 7월 유형별 민원분류기준표 정비결과 알림,4
1337,무허가 건물 여부 회신,11
1338,2019년 8월 조달전문 이러닝 과정 운영 안내,4
1339,사업시행자 제시액 조서 작성[군산 금광지구 주거환경개선사업(행복주택 건립사업)],9
1340,진안(군상) 농어촌임대주택 입주자 모집 협조 요청,11
1341,2019년도 폭력예방교육 실시 및 실적 입력 안내,4
1342,『주택품질 향상에 따른 가산비용 기준』 개정 알림,10
